city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
张家界,30,16,29,0.78,16,33,21,3
张家口,70,36,87,1.0,30,55,59,12
章丘,104,58,156,0.85,29,96,82,29
张掖,60,27,68,0.45,27,45,52,13
漳州,93,69,97,0.9,45,56,61,30
湛江,55,32,55,0.62,14,96,104,4
肇庆,126,95,115,1.13,54,6,5,22
昭通,39,14,38,0.85,16,68,59,13
招远,0,0,0,0.0,0,0,0,0
郑州,95,62,137,0.73,54,61,34,18
镇江,184,138,165,1.25,64,33,43,17
中山,52,31,52,0.63,25,73,75,4
中卫,103,76,98,1.13,46,29,31,15
周口,69,29,85,0.68,14,99,50,10
舟山,37,17,34,0.47,26,86,72,4
珠海,48,23,47,0.65,31,83,86,4
诸暨,0,0,0,0.0,0,0,0,0
驻马店,72,40,92,0.37,21,93,68,6
株洲,77,56,68,0.93,26,39,19,9
淄博,113,80,173,0.92,48,108,88,27
自贡,89,66,98,0.95,28,12,8,8
资阳,53,36,52,0.8,28,15,6,6
遵义,50,24,49,0.92,32,19,17,22
